id,section,cluster,wave,title,slug,primary_keyword,volume,kd,intent,evidence,angle_rationale,format,word_count,cta_primary,cta_secondary,hub_link,image_source,image_concept,og_treatment,meta_title,meta_description,schema,status,notes
H093,hyrox,Times & Benchmarks,1,What is a good HYROX time? Honest benchmarks for every level,what-is-a-good-hyrox-time-honest-benchmarks-for-every-level,what is a good hyrox time,320,13,Informational,semrush,320/KD13 anchor; ranges by division/experience; percentile CTA when data lands,pillar,2500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,time bands by level graphic,"headline stat rendered as branded card, 1200x630",What is a good HYROX time? Honest benchmarks for every level | Suth Performance,320/KD13 anchor. From the Elite 15 HYROX coaching team at Suth Performance.,Article + FAQPage + BreadcrumbList,check-overlap,
H094,hyrox,Times & Benchmarks,1,Average HYROX finish time: the real numbers,average-hyrox-finish-time-the-real-numbers,average hyrox time,,,Informational,longtail-unevidenced,Sibling intent to 'good time'; distinct SERP; snippet table,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,average time by division,"headline stat rendered as branded card, 1200x630",Average HYROX finish time: the real numbers | Suth Performance,Sibling intent to 'good time'. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H095,hyrox,Times & Benchmarks,1,HYROX world records: every current record and who holds it,hyrox-world-records-every-current-record-and-who-holds-it,hyrox world records,260,17,Informational,semrush,"260/KD17; maintained record book, updated within 48h of records falling",guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,ai-generate,"elite athlete crossing finish under race clock, arms up","photo + title band, brand dark/chartreuse, 1200x630",HYROX world records: every current record and who holds it | Suth Performance,260/KD17. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H096,hyrox,Times & Benchmarks,2,HYROX doubles world record and what we can learn from it,hyrox-doubles-world-record-and-what-we-can-learn-from-it,hyrox doubles world record,110,5,Informational,semrush,KD5 — easiest keyword in the set; Ben races doubles: unique authority,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,own-photo,ben/ben-racing-placeholder.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX doubles world record and what we can learn from it | Suth Performance,KD5 — easiest keyword in the set. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H097,hyrox,Times & Benchmarks,2,Sub-90 HYROX: the training that gets you there,sub-90-hyrox-the-training-that-gets-you-there,sub 90 hyrox,,,Informational,longtail-unevidenced,Goal-time ladder rung 1; links plan CTA; existing post refresh,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,own-photo,v2/programme-sub-90-v2.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Sub-90 HYROX: the training that gets you there | Suth Performance,Goal-time ladder rung 1. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H098,hyrox,Times & Benchmarks,2,Sub-80 HYROX: what separates 90-minute athletes from 80,sub-80-hyrox-what-separates-90-minute-athletes-from-80,sub 80 hyrox,,,Informational,longtail-unevidenced,Goal-time ladder rung 2; splits-based prescription,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,sub-80 pacing splits table,"headline stat rendered as branded card, 1200x630",Sub-80 HYROX: what separates 90-minute athletes from 80 | Suth Performance,Goal-time ladder rung 2. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H099,hyrox,Times & Benchmarks,2,Sub-70 HYROX: a serious athlete's blueprint,sub-70-hyrox-a-serious-athletes-blueprint,sub 70 hyrox,,,Informational,longtail-unevidenced,"Rung 3; advanced audience, high plan-conversion intent",guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,own-photo,track/pair-bend-rear-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Sub-70 HYROX: a serious athlete's blueprint | Suth Performance,Rung 3. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H100,hyrox,Times & Benchmarks,3,Sub-60 HYROX: inside the elite hour,sub-60-hyrox-inside-the-elite-hour,sub 60 hyrox,,,Informational,longtail-unevidenced,Rung 4; Ben's own splits as the worked example — unfakeable content,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,own-photo,ben/ben-racing-placeholder.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Sub-60 HYROX: inside the elite hour | Suth Performance,Rung 4. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H101,hyrox,Times & Benchmarks,2,HYROX times by age group: how age really changes the clock,hyrox-times-by-age-group-how-age-really-changes-the-clock,hyrox times by age,,,Informational,longtail-unevidenced,Age-group benchmarks; masters magnet; needs results data,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,times by age group curve,"headline stat rendered as branded card, 1200x630",HYROX times by age group: how age really changes the clock | Suth Performance,Age-group benchmarks. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H102,hyrox,Times & Benchmarks,2,"HYROX times by gender: the real gaps, station by station",hyrox-times-by-gender-the-real-gaps-station-by-station,hyrox average time female,,,Informational,longtail-unevidenced,Women's benchmark content; underserved; needs results data,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,gender split comparison,"headline stat rendered as branded card, 1200x630","HYROX times by gender: the real gaps, station by station | Suth Performance",Women's benchmark content. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H103,hyrox,Times & Benchmarks,3,Your first HYROX time: what to expect and how to predict it,your-first-hyrox-time-what-to-expect-and-how-to-predict-it,first hyrox time,,,Informational,longtail-unevidenced,Anxiety-reducer + predictor tool CTA; mid-funnel gold,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,own-photo,v2/metrics-fresh.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Your first HYROX time: what to expect and how to predict it | Suth Performance,Anxiety-reducer + predictor tool CTA. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H104,hyrox,Times & Benchmarks,3,HYROX pacing strategy: how to split the race by your target time,hyrox-pacing-strategy-how-to-split-the-race-by-your-target-time,hyrox pacing,,,Informational,longtail-unevidenced,Pacing tables per target time; printable; existing post refresh,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,pacing wristband style table,"headline stat rendered as branded card, 1200x630",HYROX pacing strategy: how to split the race by your target time | Suth Performance,Pacing tables per target time. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H105,hyrox,Times & Benchmarks,3,Which HYROX station costs the most time? The data answer,which-hyrox-station-costs-the-most-time-the-data-answer,hyrox station times,,,Informational,longtail-unevidenced,Data story; contrarian finding potential; needs results layer,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,time cost by station ranked,"headline stat rendered as branded card, 1200x630",Which HYROX station costs the most time? The data answer | Suth Performance,Data story. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H106,hyrox,Times & Benchmarks,3,Running splits in HYROX: why your 5k time lies to you,running-splits-in-hyrox-why-your-5k-time-lies-to-you,hyrox running splits,,,Informational,longtail-unevidenced,Compromised-running data analysis; unique angle,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,fresh vs compromised run pace decay,"headline stat rendered as branded card, 1200x630",Running splits in HYROX: why your 5k time lies to you | Suth Performance,Compromised-running data analysis. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H107,hyrox,Times & Benchmarks,4,The HYROX percentile calculator: where do you actually rank?,hyrox-percentile-calculator-where-do-you-actually-rank,hyrox percentile,,,Informational,longtail-unevidenced,Tool landing post; link magnet; needs results data,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,percentile curve interactive preview,"headline stat rendered as branded card, 1200x630",The HYROX percentile calculator: where do you actually rank? | Suth Performance,Tool landing post. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H108,hyrox,Times & Benchmarks,4,How much faster is a second HYROX? First-vs-second race data,how-much-faster-is-a-second-hyrox-first-vs-second-race-data,second hyrox improvement,,,Informational,longtail-unevidenced,Original data story; PR-able finding; needs results layer,guide,1500,Results lookup / percentile check,Free HYROX plan maker,/hyrox/times,data-graphic,first vs second race improvement distribution,"headline stat rendered as branded card, 1200x630",How much faster is a second HYROX? First-vs-second race data | Suth Performance,Original data story. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),blocked-results,
H109,hyrox,Training Plans,1,"The 12-week HYROX training plan (free, complete, printable)",12-week-hyrox-training-plan-free-complete-printable,12 week hyrox training plan,140,19,Informational,semrush,KD19 core plan post; feeds the free plan-maker PDF funnel directly,pillar,2500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/bento-plan.jpg,"photo + title band, brand dark/chartreuse, 1200x630","The 12-week HYROX training plan (free, complete, printable) | Suth Performance",KD19 core plan post. From the Elite 15 HYROX coaching team at Suth Performance.,Article + FAQPage + BreadcrumbList,refresh,
H110,hyrox,Training Plans,1,Couch to HYROX: the 24-week zero-to-finish-line plan,couch-to-hyrox-the-24-week-zero-to-finish-line-plan,couch to hyrox,,,Informational,longtail-unevidenced,The flagship pillar — own this term before anyone else does,pillar,2500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/diverse-pool,"photo + title band, brand dark/chartreuse, 1200x630",Couch to HYROX: the 24-week zero-to-finish-line plan | Suth Performance,The flagship pillar — own this term before anyone else does. From the Elite 15 HYROX coaching team at Suth Performance.,Article + FAQPage + BreadcrumbList,check-overlap,
H111,hyrox,Training Plans,1,How long do you need to train for HYROX?,how-long-do-you-need-to-train-for-hyrox,how long to train for hyrox,140,14,Informational,semrush,140/KD14; honest timeline by starting level; quiz CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,data-graphic,readiness timeline by starting fitness,"headline stat rendered as branded card, 1200x630",How long do you need to train for HYROX? | Suth Performance,140/KD14. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H112,hyrox,Training Plans,1,"Free HYROX training plan PDF: 12 weeks, no email wall... almost",free-hyrox-training-plan-pdf-12-weeks-no-email-wall-almost,hyrox 12 week training plan pdf,110,14,Informational,semrush,KD14 PDF-intent query; the plan-maker lead magnet's front door,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/bento-plan.jpg,"photo + title band, brand dark/chartreuse, 1200x630","Free HYROX training plan PDF: 12 weeks, no email wall... almost | Suth Performance",KD14 PDF-intent query. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H113,hyrox,Training Plans,2,8-week HYROX training plan: race-ready on a deadline,8-week-hyrox-training-plan-race-ready-on-a-deadline,8 week hyrox training plan,,,Informational,longtail-unevidenced,Duration ladder; realistic-deadline framing,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,calendar wall planner with training blocks marked,"photo + title band, brand dark/chartreuse, 1200x630",8-week HYROX training plan: race-ready on a deadline | Suth Performance,Duration ladder. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H114,hyrox,Training Plans,2,6-week HYROX plan: the honest minimum,6-week-hyrox-plan-the-honest-minimum,6 week hyrox training plan,,,Informational,longtail-unevidenced,Duration ladder; 'is 6 weeks enough' angle answers the real question,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,"athlete checking watch mid interval, urgency","photo + title band, brand dark/chartreuse, 1200x630",6-week HYROX plan: the honest minimum | Suth Performance,Duration ladder. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H115,hyrox,Training Plans,2,16-week HYROX plan: the aerobic-base build,16-week-hyrox-plan-the-aerobic-base-build,16 week hyrox training plan,,,Informational,longtail-unevidenced,Duration ladder top; periodisation education,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,data-graphic,16-week periodisation blocks,"headline stat rendered as branded card, 1200x630",16-week HYROX plan: the aerobic-base build | Suth Performance,Duration ladder top. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H116,hyrox,Training Plans,2,HYROX training for beginners: your first 4 weeks,hyrox-training-for-beginners-your-first-4-weeks,hyrox training plan for beginners,110,22,Info/Commercial,semrush,KD22 beginner entry; fear-reduction + structure,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/palms-runners-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX training for beginners: your first 4 weeks | Suth Performance,KD22 beginner entry. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H117,hyrox,Training Plans,2,How many days a week should you train for HYROX?,how-many-days-a-week-should-you-train-for-hyrox,hyrox training days per week,,,Informational,longtail-unevidenced,Question post; honest minimums; segue to 3/4/5-day splits,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,data-graphic,results by training days visual,"headline stat rendered as branded card, 1200x630",How many days a week should you train for HYROX? | Suth Performance,Question post. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H118,hyrox,Training Plans,2,"The 3-day HYROX week: maximum result, minimum sessions",3-day-hyrox-week-maximum-result-minimum-sessions,3 day hyrox training plan,,,Informational,longtail-unevidenced,Busy-athlete split; big untapped audience,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,"parent lacing trainers by front door, dawn light","photo + title band, brand dark/chartreuse, 1200x630","The 3-day HYROX week: maximum result, minimum sessions | Suth Performance",Busy-athlete split. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H119,hyrox,Training Plans,2,The 4-day HYROX training split that most athletes should run,4-day-hyrox-training-split-that-most-athletes-should-run,4 day hyrox training plan,,,Informational,longtail-unevidenced,The default split; canonical structure post,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,data-graphic,4-day split week structure,"headline stat rendered as branded card, 1200x630",The 4-day HYROX training split that most athletes should run | Suth Performance,The default split. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H120,hyrox,Training Plans,3,The 5-day HYROX split for serious improvement,5-day-hyrox-split-for-serious-improvement,5 day hyrox training plan,,,Informational,longtail-unevidenced,Committed tier; overtraining warnings included,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/programme-pro.jpg,"photo + title band, brand dark/chartreuse, 1200x630",The 5-day HYROX split for serious improvement | Suth Performance,Committed tier. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H121,hyrox,Training Plans,3,HYROX training at home: full plan with minimal kit,hyrox-training-at-home-full-plan-with-minimal-kit,hyrox training at home,,,Informational,longtail-unevidenced,Home/equipment-gap audience; substitutions matrix,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,"garage gym with kettlebell rower and sandbag, morning light","photo + title band, brand dark/chartreuse, 1200x630",HYROX training at home: full plan with minimal kit | Suth Performance,Home/equipment-gap audience. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H122,hyrox,Training Plans,3,"HYROX for runners: convert your engine, keep your speed",hyrox-for-runners-convert-your-engine-keep-your-speed,hyrox for runners,,,Informational,longtail-unevidenced,Audience-bridge plan; runners are the biggest crossover pool,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/bend-lanes-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630","HYROX for runners: convert your engine, keep your speed | Suth Performance",Audience-bridge plan. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H123,hyrox,Training Plans,3,HYROX for CrossFitters: what transfers and what's missing,hyrox-for-crossfitters-what-transfers-and-whats-missing,hyrox for crossfitters,,,Informational,longtail-unevidenced,Audience bridge; existing transition post refresh,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,crossfit box with hyrox sled lane taped out,"photo + title band, brand dark/chartreuse, 1200x630",HYROX for CrossFitters: what transfers and what's missing | Suth Performance,Audience bridge. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H124,hyrox,Training Plans,3,HYROX over 40: the masters training plan,hyrox-over-40-the-masters-training-plan,hyrox over 40,,,Informational,longtail-unevidenced,Masters plan; recovery-first framing; existing post refresh,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/pair-distant-dusk-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX over 40: the masters training plan | Suth Performance,Masters plan. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H125,hyrox,Training Plans,3,"HYROX over 50: strong, fast and injury-free",hyrox-over-50-strong-fast-and-injury-free,hyrox over 50,,,Informational,longtail-unevidenced,Extends masters ladder; almost zero competition,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,"50s athlete confident with sandbag on shoulder, natural grade","photo + title band, brand dark/chartreuse, 1200x630","HYROX over 50: strong, fast and injury-free | Suth Performance",Extends masters ladder. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H126,hyrox,Training Plans,3,Strength training for HYROX: the lifts that actually matter,strength-training-for-hyrox-the-lifts-that-actually-matter,hyrox strength training,,,Informational,longtail-unevidenced,Strength programming pillar; links station workouts,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/video-farmers.jpg,"photo + title band, brand dark/chartreuse, 1200x630",Strength training for HYROX: the lifts that actually matter | Suth Performance,Strength programming pillar. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H127,hyrox,Training Plans,3,"Running programme for HYROX: paces, volumes, sessions",running-programme-for-hyrox-paces-volumes-sessions,hyrox running programme,,,Informational,longtail-unevidenced,Running-leg pillar; pace-zone tables,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/pano-pair-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630","Running programme for HYROX: paces, volumes, sessions | Suth Performance",Running-leg pillar. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H128,hyrox,Training Plans,4,HYROX taper week: the exact 7-day protocol,hyrox-taper-week-the-exact-7-day-protocol,hyrox taper,,,Informational,longtail-unevidenced,Race-week detail; existing post refresh to new standard,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/quiz-interstitial-2.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX taper week: the exact 7-day protocol | Suth Performance,Race-week detail. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H129,hyrox,Training Plans,4,Training between HYROX races: the 6-week bridge plan,training-between-hyrox-races-the-6-week-bridge-plan,training between hyrox races,,,Informational,longtail-unevidenced,Multi-race season planning; retention content for subscribers,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,data-graphic,season structure between races,"headline stat rendered as branded card, 1200x630",Training between HYROX races: the 6-week bridge plan | Suth Performance,Multi-race season planning. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H130,hyrox,Training Plans,4,HYROX off-season: build the engine while nobody's watching,hyrox-off-season-build-the-engine-while-nobodys-watching,hyrox off season,,,Informational,longtail-unevidenced,Season periodisation; existing post refresh,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/gym-ergs-dark-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX off-season: build the engine while nobody's watching | Suth Performance,Season periodisation. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H131,hyrox,Training Plans,4,"Doubles training plan: prepare as a pair, race as one",doubles-training-plan-prepare-as-a-pair-race-as-one,hyrox doubles training plan,,,Informational,longtail-unevidenced,Doubles-specific plan; Ben's division — unique authority,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,track/pair-close-frontal-bw.jpg,"photo + title band, brand dark/chartreuse, 1200x630","Doubles training plan: prepare as a pair, race as one | Suth Performance",Doubles-specific plan. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H132,hyrox,Training Plans,4,HYROX relay team training: getting four people race-ready,hyrox-relay-team-training-getting-four-people-race-ready,hyrox relay training,,,Informational,longtail-unevidenced,Corporate/team angle; group-booking CTA,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,ai-generate,"four colleagues training together, relay batons of grip gloves","photo + title band, brand dark/chartreuse, 1200x630",HYROX relay team training: getting four people race-ready | Suth Performance,Corporate/team angle. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H133,hyrox,Training Plans,4,"Two HYROX races, four weeks apart: how to survive the double",two-hyrox-races-four-weeks-apart-how-to-survive-the-double,back to back hyrox races,,,Informational,longtail-unevidenced,Multi-race recovery; existing recovery-between-races refresh,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/plans,own-photo,v2/video-recovery.jpg,"photo + title band, brand dark/chartreuse, 1200x630","Two HYROX races, four weeks apart: how to survive the double | Suth Performance",Multi-race recovery. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H134,hyrox,Workouts,1,"The HYROX workout, explained: what a session actually looks like",hyrox-workout-explained-what-a-session-actually-looks-like,hyrox workout,22200,46,Informational,semrush,"22,200/mo head term; pillar defining the workout style + example sessions",pillar,2500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,own-photo,track/gym-coach-row-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630","The HYROX workout, explained: what a session actually looks like | Suth Performance","22,200/mo head term. From the Elite 15 HYROX coaching team at Suth Performance.",Article + FAQPage + BreadcrumbList,check-overlap,
H135,hyrox,Workouts,1,15 HYROX workouts for every fitness level,15-hyrox-workouts-for-every-fitness-level,hyrox workouts,1300,34,Informational,semrush,"1,300/KD34 listicle; workout-card format; save magnet",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,own-photo,v2/station-fresh.jpg,"photo + title band, brand dark/chartreuse, 1200x630",15 HYROX workouts for every fitness level | Suth Performance,"1,300/KD34 listicle. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H136,hyrox,Workouts,1,HYROX exercises: the full movement list (and what they train),hyrox-exercises-the-full-movement-list-and-what-they-train,hyrox exercises,2400,27,Informational,semrush,"2,400/KD27; movement library linking to station guides",guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,data-graphic,movement grid with muscle groups,"headline stat rendered as branded card, 1200x630",HYROX exercises: the full movement list (and what they train) | Suth Performance,"2,400/KD27. From the Elite 15 HYROX coaching team at Suth Performance.",Article + BreadcrumbList (+HowTo where stepped),check-overlap,
H137,hyrox,Workouts,2,The full HYROX simulation workout (and when to run one),full-hyrox-simulation-workout-and-when-to-run-one,hyrox simulation workout,110,12,Informational,semrush,KD12 quick win; sim protocol + scaling; existing sim post refresh,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,own-photo,track/gym-skierg-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",The full HYROX simulation workout (and when to run one) | Suth Performance,KD12 quick win. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),refresh,
H138,hyrox,Workouts,2,The mini HYROX workout: the race in 30 minutes,mini-hyrox-workout-the-race-in-30-minutes,mini hyrox workout,110,13,Informational,semrush,KD13 quick win; time-poor format; shareable card,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,data-graphic,30-min mini-sim workout card,"headline stat rendered as branded card, 1200x630",The mini HYROX workout: the race in 30 minutes | Suth Performance,KD13 quick win. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H139,hyrox,Workouts,2,HYROX partner workouts: 8 sessions to share the suffering,hyrox-partner-workouts-8-sessions-to-share-the-suffering,hyrox partner workout,110,20,Informational,semrush,KD20; doubles-prep + gym-buddy audience,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,own-photo,track/pair-close-frontal-colour.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX partner workouts: 8 sessions to share the suffering | Suth Performance,KD20. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H140,hyrox,Workouts,2,HYROX WOD library: a month of daily sessions,hyrox-wod-library-a-month-of-daily-sessions,hyrox wod,260,16,Informational,semrush,KD16 quick win; CrossFit-crossover vocabulary; recurring update post,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,ai-generate,"gym whiteboard with WOD written up, chalk detail","photo + title band, brand dark/chartreuse, 1200x630",HYROX WOD library: a month of daily sessions | Suth Performance,KD16 quick win. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H141,hyrox,Workouts,2,HYROX exercise order: why the sequence is the strategy,hyrox-exercise-order-why-the-sequence-is-the-strategy,hyrox exercise order,390,39,Informational,semrush,Consolidates order/list queries; pacing-science angle,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,data-graphic,sequence with energy-system annotation,"headline stat rendered as branded card, 1200x630",HYROX exercise order: why the sequence is the strategy | Suth Performance,Consolidates order/list queries. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
H142,hyrox,Workouts,3,HYROX strength workouts: 6 gym sessions for race power,hyrox-strength-workouts-6-gym-sessions-for-race-power,hyrox strength workout,110,33,Informational,semrush,Strength sub-library; links strength plan pillar,guide,1500,Free HYROX plan maker (branded PDF),Take the fitness assessment quiz,/hyrox/workouts,own-photo,v2/video-sled-pull.jpg,"photo + title band, brand dark/chartreuse, 1200x630",HYROX strength workouts: 6 gym sessions for race power | Suth Performance,Strength sub-library. From the Elite 15 HYROX coaching team at Suth Performance.,Article + BreadcrumbList (+HowTo where stepped),planned,
