keyword,segment,buyer_type,intent,volume,kd_percent,cpc_usd,opportunity_score,priority,cluster,status
what is a hyrox workout,Hyrox,Client,Informational,110,37,0.07,69,P3 Build,Workouts,not_started
hydrox events,Hyrox,Client,Info/Transactional,140,54,1.54,64,P4 Long Term,Misspellings,not_started
hyrdox,Hyrox,Client,Informational,140,54,0.77,64,P4 Long Term,Misspellings,not_started
hyrox definition,Hyrox,Client,Informational,140,57,0,60,P4 Long Term,Fundamentals,not_started
hyrox programmes,Hyrox,Client,Commercial,90,33,1.24,60,P3 Build,Training Plans,not_started
hyrox beginner workouts,Hyrox,Client,Informational,90,35,0.75,59,P3 Build,Beginner,not_started
hyrox run,Hyrox,Client,Informational,170,66,0.78,58,P4 Long Term,Workouts,not_started
hyrox programme,Hyrox,Client,Informational,110,47,1.83,58,P3 Build,Training Plans,not_started
hyrox workout examples,Hyrox,Client,Informational,90,37,0.57,57,P3 Build,Workouts,not_started
what are the hyrox exercises,Hyrox,Client,Informational,90,38,0.09,56,P3 Build,Workouts,not_started
hyrox gym workout,Hyrox,Client,Informational,110,51,0.5,54,P4 Long Term,Workouts,not_started
womens hyrox,Hyrox,Client,Info/Transactional,110,51,0.99,54,P4 Long Term,Stations & Rules,not_started
hyrox beginner,Hyrox,Client,Informational,90,45,0.37,50,P3 Build,Beginner,not_started
what is hyroc,Hyrox,Client,Informational,110,56,0.09,48,P4 Long Term,Misspellings,not_started
hyrox training programs,Hyrox,Client,Info/Commercial,110,57,0.99,47,P4 Long Term,Training Plans,not_started
hryox,Hyrox,Client,Navigational,110,59,0.36,45,P4 Long Term,Misspellings,not_started
how does hyrox work,Hyrox,Client,Informational,90,52,0.06,43,P4 Long Term,Fundamentals,not_started
hyrox circuit workout,Hyrox,Client,Informational,90,55,0.88,41,P4 Long Term,Workouts,not_started
hyrox.,Hyrox,Client,Navigational,110,66,0.53,37,P4 Long Term,Misspellings,not_started
hyrox world championships results,Hyrox,Client,Informational,90,,0,,Needs KD,Results & Data,not_started
hyrox ranking,Hyrox,Client,Informational,40,,2.32,,Needs KD,Results & Data,not_started
hyrox paris results,Hyrox,Client,Informational,30,,0,,Needs KD,Results & Data,not_started
